ImageID,LabelName1,LabelName2,ImageHeight,ImageWidth,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,ReferringExpression
new1,shade,street,600,800,407,681,338,530,9,723,328,590,shade on street
new2,man,backpack,600,800,334,476,320,575,369,441,362,443,man wear thin backpack
new3,keyboard,monitor,480,640,297,472,273,321,332,481,119,274,keyboard in front of monitor
new4,curtains,curtains,480,640,0,280,1,301,0,280,1,301,curtains have mantle
new5,cables,floor,600,800,450,499,448,536,449,798,490,598,cables on flooring
new6,apple,counter,600,800,487,547,75,122,487,555,14,128,orchard apple tree on counter
new7,book,desk,600,800,29,79,527,583,4,217,515,592,record on desk
new8,man,sleeves,600,800,417,683,286,598,461,578,384,480,isle of man has sleeves
new9,room,lights,480,640,1,636,1,478,100,431,7,95,room feature lights
new10,headphones,desk,600,800,679,778,488,536,328,800,368,599,headphones on desk
new11,chair,the desk,600,800,273,556,186,576,195,783,154,263,chair is at the desk
new12,surge protector,desk,600,800,264,580,538,560,1,792,321,530,surge protector under desk
new13,telephone,desk,600,800,218,349,228,324,208,797,260,597,telephone on desk
new14,computer monitor,desk,600,800,144,448,56,344,2,792,288,598,computer monitor on desk
new18,man,hair,600,800,13,159,267,563,62,110,268,330,man has pilus
new19,mouse,mousepad,600,800,443,480,467,491,426,511,468,499,black eye on top if mousepad
new20,books,the self,600,800,10,184,24,94,2,194,110,125,books be on the self
new21,album,lap,256,256,131,254,119,249,125,198,124,182,album on lick
new22,car,street,600,800,155,237,316,362,1,759,330,415,car on street
new23,car,girls,600,800,211,778,199,432,552,701,203,445,railcar behind girls
new24,man,man,600,800,721,764,280,351,721,764,280,351,man sitting valet
new25,child,stroller,600,800,658,685,364,383,636,707,340,425,youngster in stroller
new26,man,sidewalk,600,800,364,407,375,521,1,747,389,599,man walking on pavement
new27,switch,wall,600,800,585,603,360,376,1,683,2,468,switch on wall
new28,picture,wall,600,800,302,503,68,251,7,797,1,462,picture on wall
new29,woman,ocean,600,800,425,492,162,416,1,704,178,302,woman face ocean
new30,luggage,floor,600,800,602,706,373,483,326,787,488,592,baggage on floor
new31,kleenex,box,600,800,536,578,182,222,539,586,215,249,kleenex in box
new32,sink,faucet,600,800,368,535,415,458,346,442,360,459,sinkhole and faucet
new33,closed door,closed door,600,800,155,206,183,302,155,206,183,302,unopen door door is closed door
new34,chair,metal rods,600,800,342,569,233,588,341,546,407,576,chair has metal rod
new35,computer,picture,600,800,679,754,152,262,7,795,1,599,computer in picture
new36,bagels,table,600,800,338,434,363,418,150,761,329,472,beigel on table
new37,pillow,photo,600,800,124,277,232,354,172,251,253,322,pillow has photo
new39,clutter,table,534,800,118,339,220,295,104,326,247,433,clutter on mesa
new40,lamp stand,table,800,560,3,460,346,746,3,379,686,799,lamp stand on table
new41,gallon jug,lid,600,800,665,783,316,488,729,755,312,330,gallon jugful has lid
new42,chair,room,600,800,667,761,385,437,586,792,4,243,chair in room
new43,plate,table,600,800,76,279,518,595,6,622,366,597,plate on table
new44,writing,board,600,800,362,437,149,200,308,520,82,233,writing on panel
new45,suv,intersection,600,800,22,250,224,370,1,538,265,593,suv in carrefour
new47,person,street,600,800,174,245,278,425,27,694,345,582,person crossing street
new48,flowers,planter,600,800,551,586,426,452,492,769,425,591,flowers in planter
new49,girl,coat,800,600,191,227,570,686,193,227,584,642,lady friend in coat
new50,book,desk,600,800,1,153,219,573,336,606,532,599,book on desk
new52,foliage,water,600,800,4,777,453,597,17,786,363,597,foliage around piss
new53,building,window,534,800,42,330,4,339,147,193,53,223,building get window
new57,line,road,600,800,195,319,479,527,4,794,371,597,line on road
new58,wall,windows,600,800,509,703,5,378,521,687,4,175,wall of windows
new60,grate,street,600,800,698,798,533,595,224,796,243,599,grate in street
new62,window,building,600,800,421,470,78,137,182,495,1,288,window on building
new64,windmill,blades,600,800,384,485,120,407,288,583,35,300,wind generator has blades
new68,wire,wall,502,468,80,110,105,280,14,460,10,306,wire on wall
new69,potato,plate,480,640,264,310,187,241,82,454,32,404,potato on the plateful
new70,painting,wall,446,600,414,559,29,211,375,421,13,37,painting on bulwark
new71,woman,desk,375,500,281,367,140,373,276,374,235,374,woman is sitting in a desk
new72,glass,table,247,495,364,400,142,225,77,471,94,241,glass on table
new73,leg,chair,533,800,69,91,342,444,46,138,241,465,peg of chair
new74,screen,wall,599,800,43,286,23,305,38,331,85,529,screen is on wall
new78,computer,monitor.,256,256,88,128,137,153,91,124,105,130,computer have monitor.
new79,light,table,450,600,473,591,1,127,319,599,287,449,light all over table
new83,art,book,534,800,658,759,354,419,561,653,287,350,prowess on the book
new87,boy,water,600,800,280,306,377,407,1,800,371,598,male child is swimming in water
new90,ceiling,living room,534,800,256,489,11,101,4,799,1,529,ceiling in livelihood room
