ImageID,LabelName1,LabelName2,ImageHeight,ImageWidth,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,ReferringExpression
alex_32258,man,white toilet in the restroom,375,500,147,362,1,369,219,281,247,324,The man is sitting on the white toilet in the restroom.
alex_474119,person wearing a suit,white toilet inside bathroom,480,640,190,367,156,473,197,267,433,473,The person wearing a suit is sitting on the white toilet inside bathroom.
alex_494629,man,toilet on the floor,640,480,56,420,64,595,224,476,444,611,The man is sitting on the toilet on the floor.
alex_391774,young person,white toilet,426,640,201,437,88,368,0,399,0,421,The young person is sitting next to the white toilet.
alex_340034,boy,porcelain toilet,500,333,58,296,29,414,158,332,247,494,The boy is sitting on the porcelain toilet.
alex_306755,boy,toilet near the person,360,640,77,244,67,355,226,527,0,359,The boy is looking in the toilet near the person.
alex_365642,person dressed in all black,parceling toilet,640,426,98,352,122,604,210,323,415,560,The person dressed in all black is sitting on the parceling toilet.
alex_3156,strong man in work clothes,toilet in the bathroom,640,443,4,365,15,634,255,442,248,615,The strong man in work clothes is touching the toilet in the bathroom.
alex_154718,human hesitant man in a green shirt,filthy toilet in a bathroom,500,375,34,365,326,494,30,295,44,370,The human hesitant man in a green shirt is standing over the filthy toilet in a bathroom.
alex_92257,person,white toilet,428,640,134,392,36,421,211,327,299,403,The person is sitting on the white toilet.
alex_315492,girl wearing a striped shirt,white toilet in a wood paneled bathroom,612,612,160,333,148,460,17,198,351,574,The girl wearing a striped shirt is sitting near the white toilet in a wood paneled bathroom.
alex_289388,person,white toilet on the ground,500,375,1,233,1,421,95,351,246,493,The person is flushing the white toilet on the ground.
alex_408696,man,white toilet in the attic,480,640,409,636,40,471,247,354,274,416,The man is bending near the white toilet in the attic.
alex_459400,person,white toilet at the end of the bathroom,500,333,4,328,246,494,47,249,0,320,The person is beside the white toilet at the end of the bathroom.
alex_295574,average person wearing a sweater,white toilet against a wall,640,480,45,207,127,520,125,314,459,639,The average person wearing a sweater is taking a picture of the white toilet against a wall.
alex_568502,person,toilet on the ground,480,640,0,400,13,308,99,639,12,479,The person is acting silly over the toilet on the ground.
alex_570039,man,toilet in a room,384,640,26,341,1,379,450,636,170,365,The man is laying a hand on the toilet in a room.
alex_89281,person,clean toilet in the bathroom,640,480,157,478,0,638,2,199,314,620,The person is cleaning the clean toilet in the bathroom.
alex_232649,man,toilet against the wall,500,375,5,91,0,108,123,374,320,499,The man is standing near the toilet against the wall.
alex_381134,man,white toilet in the bathroom,427,640,140,566,15,386,0,298,55,426,The man is drinking from the white toilet in the bathroom.
alex_520910,girl,blue toilet in bathroom,640,427,160,241,162,471,117,151,430,521,The girl is standing near the blue toilet in bathroom.
alex_186074,white person,white toilet in the corner,332,500,62,138,27,94,200,296,179,326,The white person is taking a picture of the white toilet in the corner.
alex_357096,person,white toilet near the person,500,375,163,284,91,364,58,206,118,384,The person is cleaning the white toilet near the person.
alex_573223,girl,white toilet on the floor,428,640,382,539,24,419,74,324,248,388,The girl is standing near the white toilet on the floor.
alex_443640,person,white toilet in bathroom,640,480,64,268,183,532,136,479,120,565,The person is cleaning the white toilet in bathroom.
alex_85247,man,white toilet next to the wall,640,426,81,359,3,628,157,302,370,639,The man is sitting atop the white toilet next to the wall.
alex_149780,person wearing jeans,toilet,640,427,1,320,4,628,110,426,189,630,The person wearing jeans is opening the toilet.
alex_543006,person wearing black pants,toilet by a wall,375,500,160,321,301,369,158,356,0,311,The person wearing black pants is standing over the toilet by a wall.
alex_37670,man,white toilet against a wall,480,640,436,639,23,184,1,331,28,474,The man is standing near the white toilet against a wall.
alex_107304,man,beige toilet under counter,480,640,312,552,20,479,91,224,278,435,The man is making a silly face near the beige toilet under counter.
alex_104751,heavy standing man,white toilet in a bathroom,640,480,225,288,376,541,1,77,563,631,The heavy standing man is standing near the white toilet in a bathroom.
alex_73009,man in his underwear,white toilet under the person,500,375,82,316,95,378,140,211,286,391,The man in his underwear is sitting on the white toilet under the person.
alex_500019,lady man,white toilet in a room,640,427,84,424,103,630,346,424,562,621,The lady man is sitting on the white toilet in a room.
alex_314177,person,toilet on the floor,640,481,167,323,280,598,206,275,557,598,The person is sitting on the toilet on the floor.
alex_24386,funny man wearing a black sweater,tan toilet,375,500,31,232,52,368,4,88,139,339,The funny man wearing a black sweater is sitting on the tan toilet.
alex_371529,man,white toilet in a bathroom,640,512,33,342,52,574,207,493,159,589,The man is touching the white toilet in a bathroom.
alex_451412,person,open toilet in the bathroom,640,427,1,263,0,560,194,422,243,621,The person is flushing the open toilet in the bathroom.
alex_39267,man wearing all black,white toilet by the wall,640,501,1,320,88,569,253,493,14,504,The man wearing all black is kneeling beside the white toilet by the wall.
alex_306159,person wearing boots,toilet on the ground,640,480,37,400,471,639,169,309,258,551,The person wearing boots is near the toilet on the ground.
alex_502644,strange man,white toilet next to a wall,640,429,85,329,51,615,46,242,216,547,The strange man is sitting on the white toilet next to a wall.
alex_127880,girl,white toilet on the floor,612,612,165,486,24,586,449,591,137,418,The girl is sitting in front of the white toilet on the floor.
alex_280972,tall person wearing jeans,disgusting toilet,640,427,2,236,332,633,175,279,399,600,The tall person wearing jeans is kicking the disgusting toilet.
alex_564163,"man wearing a hat, glasses, jeans and a t-shirt",ceramic toilet,500,375,44,301,46,496,66,170,361,478,"The man wearing a hat, glasses, jeans and a t-shirt is sitting on the ceramic toilet."
alex_373193,man,white toilet on floor,281,500,286,390,39,218,83,172,45,154,The man is near the white toilet on floor.
alex_427476,small person,white toilet next to the child,480,640,230,390,116,445,71,201,251,473,The small person is standing next to the white toilet next to the child.
alex_136680,standing person wearing red shows,parceling toilet against the wall,480,640,121,524,1,409,520,639,2,318,The standing person wearing red shows is sitting on the parceling toilet against the wall.
alex_474095,asian man,white toilet in a small room,500,333,56,277,24,493,136,166,362,437,The asian man is sitting on the white toilet in a small room.
alex_121849,young small person,white toilet in the bathroom,612,612,134,440,26,602,137,561,4,604,The young small person is sitting on the white toilet in the bathroom.
alex_567812,happy man,cute teddy bear behind the person,480,640,69,639,79,473,153,484,131,354,The happy man is near the cute teddy bear behind the person.
alex_435205,pregnant man,teddy bear in front of the person,333,500,27,496,0,329,10,202,95,293,The pregnant man is holding the teddy bear in front of the person.
alex_97800,person,white teddy bear in the bed,640,424,0,350,55,510,0,268,281,478,The person is snuggling the white teddy bear in the bed.
alex_10766,asian girl,tan teddy bear in arms,640,427,0,427,7,628,0,369,188,433,The asian girl is holding the tan teddy bear in arms.
alex_33882,smiling girl,brown teddy bear next to the girl,427,640,188,496,17,420,280,520,201,426,The smiling girl is hugging the brown teddy bear next to the girl.
alex_504353,child girl wearing a pink shirt,brown teddy bear on the bed,480,640,91,358,200,473,351,527,173,383,The child girl wearing a pink shirt is holding the brown teddy bear on the bed.
alex_227370,person,flat teddy bear under the child,404,640,0,639,0,344,229,506,263,347,The person is cuddling the flat teddy bear under the child.
alex_306749,person,teddy bear,640,428,276,395,208,473,2,351,94,512,The person is beside the teddy bear.
alex_551494,careful man,teddy bear,640,426,25,425,20,639,15,279,372,625,The careful man is sitting with the teddy bear.
alex_500814,girl wearing a skirt,fluffy teddy bear in a girl's hand,640,427,103,326,90,622,248,321,301,409,The girl wearing a skirt is holding the fluffy teddy bear in a girl's hand.
alex_56405,person,fluffy teddy bear in a little girl's hand,341,500,156,415,0,337,47,241,150,336,The person is holding the fluffy teddy bear in a little girl's hand.
alex_14941,girl,tan teddy bear on couch,640,481,239,468,115,489,138,446,255,546,The girl is holding the tan teddy bear on couch.
alex_159842,happy girl,cuddly teddy bear in the girl's arms,426,640,82,427,25,425,0,258,166,425,The happy girl is snuggling the cuddly teddy bear in the girl's arms.
alex_315492,girl wearing a striped shirt,brown teddy bear on the toilet,612,612,160,333,148,460,18,144,358,511,The girl wearing a striped shirt is standing with the brown teddy bear on the toilet.
alex_623,asian man dressed for an evening out,fluffy teddy bear on the floor,500,375,162,373,1,491,1,356,31,493,The asian man dressed for an evening out is hugging the fluffy teddy bear on the floor.
alex_116861,sleepy person,black teddy bear being held by the lady,479,640,0,597,55,473,243,542,175,471,The sleepy person is holding the black teddy bear being held by the lady.
alex_579438,long-haired man,teddy bear,500,338,0,215,12,499,99,337,132,477,The long-haired man is staring at the teddy bear.
alex_286660,person,green teddy bear in the person's hand,500,371,96,370,1,498,6,250,85,499,The person is holding the green teddy bear in the person's hand.
alex_514731,person,teddy bear,640,478,2,378,77,632,80,363,244,529,The person is holding the teddy bear.
alex_247474,person,large teddy bear,479,640,244,423,139,472,81,320,51,363,The person is posing with the large teddy bear.
alex_528575,person,white teddy bear on the bed,423,640,190,463,109,295,4,309,0,240,The person is sleeping by the white teddy bear on the bed.
alex_494273,happy person,furry teddy bear,640,388,113,313,18,318,39,316,251,631,The happy person is holding the furry teddy bear.
alex_440522,surprised man,silky teddy bear,640,480,146,479,219,631,36,223,137,632,The surprised man is beside the silky teddy bear.
alex_126163,girl,brown teddy bear,480,640,497,609,24,473,0,293,194,474,The girl is grabbing the brown teddy bear.
alex_353505,person,brown teddy bear on the bench,425,640,367,525,185,398,108,202,226,346,The person is looking at the brown teddy bear on the bench.
alex_365289,young siting person,adorable teddy bear,427,640,18,505,0,427,32,586,102,390,The young siting person is holding the adorable teddy bear.
alex_566529,man,blue teddy bear in someone's arm,375,500,0,469,0,370,0,304,4,320,The man is holding the blue teddy bear in someone's arm.
alex_423173,man wearing a helmet,brown teddy bear,640,456,140,365,56,533,0,185,85,483,The man wearing a helmet is strapped to the brown teddy bear.
alex_38666,young boy,cuddly teddy bear in the boy's hands,500,375,0,375,61,493,23,305,155,493,The young boy is holding the cuddly teddy bear in the boy's hands.
alex_510735,girl,teddy bear,457,640,329,636,51,449,36,397,82,455,The girl is posing with the teddy bear.
alex_162580,boy,brown teddy bear in the child's arms,640,587,24,554,13,632,63,409,115,327,The boy is snuggling the brown teddy bear in the child's arms.
alex_446743,child girl,white teddy bear,640,426,141,360,234,528,58,207,397,455,The child girl is playing with the white teddy bear.
alex_411938,person,brown teddy bear,427,640,387,524,141,418,243,370,194,352,The person is riding with the brown teddy bear.
alex_552744,person,small teddy bear behind the person,427,640,27,439,21,419,316,449,137,383,The person is posing with the small teddy bear behind the person.
alex_269098,person,white teddy bear on the couch,431,640,279,500,101,425,99,204,64,182,The person is sitting with the white teddy bear on the couch.
alex_61233,man,teddy bear by the bride,640,427,87,236,30,239,221,287,122,200,The man is throwing the teddy bear by the bride.
alex_101172,person,brown teddy bear on the motorcycle,640,460,60,374,8,450,145,356,136,307,The person is riding with the brown teddy bear on the motorcycle.
alex_431954,person,teddy bear,640,480,73,408,44,630,219,400,246,508,The person is holding the teddy bear.
alex_557916,girl wearing red,brown teddy bear,426,640,143,529,65,419,109,185,88,182,The girl wearing red is staring at the brown teddy bear.
alex_285534,person wearing a red shirt,white teddy bear being held,480,640,4,430,0,470,300,627,4,440,The person wearing a red shirt is showing the white teddy bear being held.
alex_531816,person,teddy bear between the girl's arms,640,426,9,425,10,639,95,343,188,600,The person is holding the teddy bear between the girl's arms.
alex_80747,girl,white teddy bear in swing,640,426,125,405,60,632,136,332,215,424,The girl is holding the white teddy bear in swing.
alex_270702,happy girl,white teddy bear being held by a girl,640,428,52,427,11,632,270,427,270,479,The happy girl is holding the white teddy bear being held by a girl.
alex_333691,cute person wearing a sweater,teddy bear,640,353,46,231,53,569,168,239,178,362,The cute person wearing a sweater is carrying the teddy bear.
alex_1404,person,brown teddy bear on a boy's lap,640,478,73,477,117,439,130,441,291,523,The person is holding the brown teddy bear on a boy's lap.
alex_399741,content girl,fluffy teddy bear in the girls hands,505,640,172,467,29,477,263,395,158,355,The content girl is holding the fluffy teddy bear in the girls hands.
alex_94174,person,teddy bear in her hands,426,640,199,471,30,418,103,362,101,425,The person is holding the teddy bear in her hands.
alex_355214,man,yellow teddy bear on the chair,640,480,88,180,202,414,131,211,298,385,The man is near the yellow teddy bear on the chair.
alex_511895,happy person,teddy bear in the person's arms,640,338,47,265,21,423,64,218,265,450,The happy person is holding the teddy bear in the person's arms.
alex_566596,young boy,teddy bear on the ground,537,640,180,456,7,525,33,592,290,477,The young boy is sitting on top of the teddy bear on the ground.
alex_557981,unkempt man wearing a white t-shirt,white teddy bear in the air,640,428,43,348,198,633,47,184,447,638,The unkempt man wearing a white t-shirt is holding the white teddy bear in the air.
alex_287216,man,brown teddy bear on the table,424,640,448,589,1,420,479,577,177,298,The man is near the brown teddy bear on the table.
alex_563697,person,fluffy teddy bear being held,500,480,328,477,0,237,132,453,145,494,The person is holding the fluffy teddy bear being held.
alex_117404,person,teddy bear on the left,640,480,81,441,37,486,28,147,283,453,The person is holding the teddy bear on the left.
alex_283055,boy,orange teddy bear in his arms,640,398,64,317,115,630,89,239,274,537,The boy is holding the orange teddy bear in his arms.
alex_492465,modern person wearing black,multicolored teddy bear in the man's hands,640,431,26,370,0,640,91,346,272,518,The modern person wearing black is carrying the multicolored teddy bear in the man's hands.
alex_92091,girl,tan teddy bear,480,640,243,447,165,478,428,639,244,383,The girl is playing with the tan teddy bear.
alex_108484,happy man,fuzzy teddy bear,480,640,377,613,60,478,1,336,65,473,The happy man is seated accross from the fuzzy teddy bear.
alex_67015,person dressed for warm weather,brown teddy bear sitting in a chair,427,640,0,246,27,360,333,450,180,319,The person dressed for warm weather is petting the brown teddy bear sitting in a chair.
alex_50638,person,brown teddy bear in persons hand,393,640,344,472,65,382,415,487,169,265,The person is holding the brown teddy bear in persons hand.
alex_484312,man,white teddy bear in his arm,500,406,8,405,1,493,251,364,246,480,The man is holding the white teddy bear in his arm.
alex_227801,asian person,teddy bear standing up,411,548,218,339,88,243,275,472,65,410,The asian person is standing beside the teddy bear standing up.
alex_30290,person wearing a t-shirt,white teddy bear laying down,640,640,83,610,122,524,228,581,223,496,The person wearing a t-shirt is holding the white teddy bear laying down.
alex_438258,happy girl,fluffy teddy bear,480,640,50,530,42,479,0,373,174,479,The happy girl is holding the fluffy teddy bear.
alex_401398,person,teddy bear in the girl's arms,433,640,211,440,133,357,175,471,254,432,The person is holding the teddy bear in the girl's arms.
alex_497067,young boy,round sports ball on the grass,623,640,270,607,82,605,131,220,468,557,The young boy is running with the round sports ball on the grass.
alex_268293,man,sports ball in the ari,640,530,88,423,26,635,232,277,330,377,The man is about to hit the sports ball in the ari.
alex_214539,person wearing a striped shirt,round sports ball on the soccer field,427,640,227,452,93,356,266,304,310,348,The person wearing a striped shirt is kicking the round sports ball on the soccer field.
alex_393743,young girl,sports ball on the field,500,333,42,150,119,484,131,199,420,482,The young girl is standing by the sports ball on the field.
alex_29719,girl,sports ball on the ground,424,640,291,500,0,418,248,353,330,422,The girl is kicking the sports ball on the ground.
alex_159774,man,strong sports ball flying through the air,427,640,390,628,276,421,334,373,282,317,The man is trying to catch the strong sports ball flying through the air.
alex_65057,boy,brown sports ball in the crook of the person's arm,640,512,0,412,77,628,127,226,232,285,The boy is running after the brown sports ball in the crook of the person's arm.
alex_90374,person wearing a black tennis outfit,yellow sports ball in the air,640,502,96,434,27,616,132,308,121,221,The person wearing a black tennis outfit is hitting the yellow sports ball in the air.
alex_127530,person,yellow sports ball in the air,440,640,254,541,15,439,503,543,253,291,The person is hitting the yellow sports ball in the air.
alex_542260,person wearing a soccer uniform,white sports ball in the air,502,640,135,310,85,482,378,426,179,228,The person wearing a soccer uniform is focusing on the white sports ball in the air.
alex_345154,white man,round sports ball in the air,427,640,378,503,195,424,219,257,256,294,The white man is ignoring the round sports ball in the air.
alex_36420,person wearing a green jersey with the number 8 on the front,spotted sports ball on the field,640,453,251,380,143,488,60,112,462,514,The person wearing a green jersey with the number 8 on the front is trying to kick the spotted sports ball on the field.
alex_493132,man wearing a blue jersey,white sports ball in air,424,640,38,166,93,355,228,267,229,268,The man wearing a blue jersey is blocking the white sports ball in air.
alex_330845,person wearing a helmet,yellow sports ball above the water,640,427,175,313,204,356,122,174,119,174,The person wearing a helmet is throwing the yellow sports ball above the water.
alex_370270,man,round sports ball,640,480,295,472,201,631,147,261,429,535,The man is hitting the round sports ball.
alex_9317,relaxed boy,round sports ball on the ground,359,640,59,192,60,313,375,466,256,341,The relaxed boy is sitting next to the round sports ball on the ground.
alex_91751,person,white sports ball in a soccer field,549,640,68,411,61,515,382,464,337,420,The person is kicking the white sports ball in a soccer field.
alex_416700,concentrated man,sports ball,332,500,192,463,19,327,376,419,72,116,The concentrated man is trying to hit the sports ball.
alex_244339,lanky person wearing a green and white shirt,sports ball,313,500,109,301,19,308,97,174,237,311,The lanky person wearing a green and white shirt is holding the sports ball.
alex_224702,athletic man wearing brown,yellow sports ball in the man's hand,640,489,128,469,101,637,150,188,594,632,The athletic man wearing brown is holding the yellow sports ball in the man's hand.
alex_308856,muscular person wearing a tennis outfit,black sports ball in the air,640,426,98,318,33,632,155,193,149,185,The muscular person wearing a tennis outfit is aiming at the black sports ball in the air.
alex_427135,bearded person,round sports ball,433,640,102,378,54,371,284,328,244,287,The bearded person is kicking the round sports ball.
alex_63104,boy,sports ball in the mit,612,612,82,439,6,609,405,519,349,397,The boy is playing with the sports ball in the mit.
alex_22935,man,sports ball in front of the people,480,640,20,457,18,473,49,187,194,333,The man is playing with the sports ball in front of the people.
alex_191112,man,orange sports ball rolling on the ground,427,640,293,428,29,354,331,371,349,390,The man is playing with the orange sports ball rolling on the ground.
alex_126098,boy,round sports ball,443,640,268,422,103,359,407,450,155,198,The boy is watching the round sports ball.
alex_524979,tentative boy wearing an eyeglasses,white sports ball in the air,640,397,10,334,154,639,76,133,47,106,The tentative boy wearing an eyeglasses is tossing the white sports ball in the air.
alex_183988,white person wearing long sleave shirt,round sports ball,480,640,209,438,0,151,224,436,343,471,The white person wearing long sleave shirt is hitting the round sports ball.
alex_265407,person,sports ball in the girls' arms,424,640,126,467,57,367,389,459,243,313,The person is touching the sports ball in the girls' arms.
alex_574154,man,yellow sports ball flying through the air,427,640,115,636,4,419,551,600,117,166,The man is hitting the yellow sports ball flying through the air.
alex_146640,person wearing sunglasses,yellow sports ball in the air,640,417,8,403,23,635,209,269,164,225,The person wearing sunglasses is serving the yellow sports ball in the air.
alex_311928,serene boy,white sports ball in the air,398,640,77,254,30,389,594,638,206,252,The serene boy is hitting the white sports ball in the air.
alex_153822,person,sports ball,640,457,14,395,126,630,347,414,406,455,The person is hitting the sports ball.
alex_551633,girl,sports ball on the grass,640,424,120,423,2,581,164,321,446,601,The girl is grabbing the sports ball on the grass.
alex_112362,asian person wearing a hat,sports ball,427,640,383,491,40,378,206,257,235,279,The asian person wearing a hat is using his fingers to hold the sports ball.
alex_407298,person,sports ball in the mit,480,640,0,385,0,480,369,457,315,472,The person is holding the sports ball in the mit.
alex_570116,black man wearing a white shirt,round sports ball on the ground,374,500,210,318,82,288,176,217,263,307,The black man wearing a white shirt is kneeling close to the round sports ball on the ground.
alex_190423,overweight chubby person,sports ball in the person's hands,433,500,207,335,112,396,176,222,168,212,The overweight chubby person is throwing the sports ball in the person's hands.
alex_122413,man wearing a helmet,orange sports ball,426,640,316,407,100,230,183,230,73,120,The man wearing a helmet is near the orange sports ball.
alex_87328,girl,sports ball,640,596,105,574,106,591,60,179,409,528,The girl is sitting by the sports ball.
alex_93985,person,white sports ball hitting the boy,640,478,30,445,104,631,250,300,392,445,The person is dropping the white sports ball hitting the boy.
