ImageID,LabelName1,LabelName2,Height,Width,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,ReferringExpression
1,lamp,lamp,600,800,533,596,53,490,357,380,189,367,Lamp post and lamp is on the sidewalk's edge
18,computer,computer,600,800,322,477,238,390,741,798,261,443,Computer is the guy looking at
50,blinds,blinds,600,800,1,84,0,263,183,725,0,271,Closed blinds are covering the windows
2359545,bowl,pole,500,375,0,361,56,474,121,329,0,239,Pole in bowl is brown
2359549,Horns,Horns,333,500,243,260,157,167,272,289,157,164,Horns is on the cow's head
2359578,tracks,tracks,333,500,260,418,73,332,208,287,216,332,Tracks is the train on
2359614,zebras,zebras,333,500,0,343,15,266,52,433,41,324,Zebras are these animals
2359722,train tracks,train tracks,375,500,0,500,267,349,0,217,301,374,Two train tracks is parallel to each other
2359783,Motorcycle riders,Motorcycle riders,332,500,255,320,117,262,230,257,147,185,Motorcycle riders is the focus
2359898,wood,wood,500,375,0,103,285,428,97,244,81,144,Wood are the kitchen cabinets made from
2359914,shorts,Man,375,500,37,95,128,189,21,107,6,285,Man's shorts is green
2359931,suits,suits,357,500,76,234,156,355,234,426,118,355,Suits are they wearing
2359936,zebra,zebra,352,500,98,406,76,226,190,447,77,225,Zebra is the name of this mammal
2360006,bus,bus,500,500,97,427,66,436,411,499,251,335,Bus is red
2360027,balls,balls,375,500,147,213,275,337,30,80,175,222,Kicking balls are the children doing
2360052,guy,hair,333,500,233,342,112,332,224,315,113,196,A guy's hair is black
2360158,Sign,Sign,331,500,23,297,77,152,140,256,204,310,Sign is on the pole
2360238,Tartar sauce,Tartar sauce,375,500,273,383,243,358,354,437,204,314,Tartar sauce is in the container
2360392,animals,animals,334,500,223,406,31,254,148,207,155,302,Animals is pictured
2360417,giraffe,giraffe,500,375,180,316,183,365,332,374,194,277,Giraffes are the people looking at
2360467,curb,curb,321,500,312,496,283,304,0,288,262,286,The curb is yellow
2360508,birds,birds,333,500,213,345,154,319,45,152,121,248,Birds is in the air
2360627,Zebras,Zebras,408,500,23,458,98,382,113,310,31,310,Zebras are they
2360679,flowers,flowers,375,500,57,99,173,229,85,120,81,111,Flowers is on the desktop
2360689,railings,railings,375,500,353,498,4,63,0,270,6,78,Railings are the bars on the wall called
2360768,shirt,jean jacket,463,500,228,314,237,462,26,490,185,461,A shirt and a jean jacket is the woman wearing
2360773,Necks,Necks,500,375,154,171,171,201,134,145,171,201,Necks is unusually big on these animals
2360776,cars,cars,375,500,270,340,24,46,354,401,25,42,Cars is in the background
2360907,trees,trees,375,500,303,453,120,342,83,496,0,147,Trees is green
2360974,wood,wood,333,500,308,350,117,147,409,459,120,140,Wood is the stand made of
2361081,stuffed animals,stuffed animals,375,500,92,246,144,303,188,404,72,289,Stuffed animals are the closest
2361089,buildings,buildings,375,500,369,496,0,200,7,346,43,192,Buildings are the structures behind the street lights
2361122,Mountains,Mountains,334,500,355,498,103,150,91,234,126,159,Mountains is in the background
2361200,giraffes,giraffes,374,500,225,311,40,362,335,378,107,285,The giraffes is on the dirt
2361430,window,fan,500,325,14,105,44,294,15,90,209,295,The fan and window is reflected in the mirror
2361494,Utensils,Utensils,333,500,53,430,191,308,0,418,273,318,Utensils is beside the pizza
2361586,surfboard,surfboard,333,500,266,490,181,237,131,234,256,298,Surfboard is blue
2361792,grass,grass,339,500,214,500,117,285,0,96,114,185,Grass is the cow eating
2361823,tusks,tusks,375,500,256,276,225,307,234,247,231,273,Tusks is white on the elephant
2361898,tracks,tracks,334,500,0,55,234,284,19,134,255,334,Tracks is the train on
2361904,stands,stands,333,500,75,486,73,153,0,497,4,156,The stands is in the background
2361928,bears,bears,333,500,10,227,117,331,205,499,0,332,Bears is brown
2361928,bear,bear,333,500,10,227,117,331,205,499,0,332,The bears is furry
2361973,Umbrellas,Umbrellas,333,500,326,384,181,200,383,440,177,195,Umbrellas are two men holding above their heads
2362024,ski poles,ski poles,333,500,68,177,133,227,300,336,177,220,Ski poles is she holding
2362112,hats,hats,500,375,154,181,118,146,266,301,143,190,Hats are the people wearing on their heads
2362200,windows,windows,357,500,245,259,167,178,233,245,166,180,Windows is on the front of the plane
2362206,buildings,buildings,500,325,185,297,287,459,0,168,14,497,Buildings is present
2362320,Windows,Windows,333,500,347,498,26,225,48,255,23,227,The windows is open
2362412,posters,posters,500,379,193,330,252,372,1,58,282,368,Posters is on the fence
2362436,pizza,pizza,375,500,35,266,54,157,43,267,63,161,Pizza is on the plate
2362542,Cars,Cars,500,333,0,36,268,313,1,59,270,310,Cars is parked on the left
2362558,horns,horns,375,500,263,271,89,106,273,279,90,103,Horns is on the giraffe's head
2362588,bathrobes,bathrobes,332,500,170,222,91,277,205,249,89,265,Two bathrobes is hanging on the wall
2362600,Curtains,Curtains,333,500,261,275,128,194,316,335,122,212,Curtains is hanging on the windows
2362601,skis,skis,500,335,36,176,398,481,80,276,386,478,Skis are on the man's feet
2362635,Candles,Candles,333,500,116,136,247,269,152,167,243,264,Candles is lit on the table
2362641,Mountains,Mountains,334,500,183,499,72,229,0,183,71,241,Mountains is in the background
2362806,cap,gown,280,500,241,268,97,107,226,291,124,226,A cap and gown are the people wearing
2362826,Plates,Plates,500,500,1,269,187,457,257,499,152,390,Plates are they on
2362878,Computers,Computers,334,500,43,304,108,283,192,408,58,239,Computers is on the desk
2363009,rocks,rocks,500,375,190,312,337,394,302,372,342,393,Rocks is on the ground
2363169,Ski poles,Ski poles,333,500,213,266,22,159,239,334,47,142,Ski poles is in the skiers hands
2363532,brush,brush,375,500,236,286,232,271,221,289,277,323,Hair brushes are the children holding
2363601,ski poles,ski poles,332,500,267,272,192,229,304,315,196,246,Ski poles is the woman holding
2363692,man,skis,375,500,246,319,153,230,224,275,231,245,A man on skis are the people watching
2363919,Horse,Horse,347,500,55,229,46,302,263,479,95,311,Horse is seen in the picture
2363965,215,430,358,500,154,168,184,191,154,169,192,198,215 and 430 are the two times on the board
2364117,plate,plate,333,500,0,238,85,308,259,452,88,282,Plate is below the food
2364125,antlers,antlers,399,500,385,406,92,131,408,445,91,126,Antlers is growing from the animals head
2364230,trains,trains,375,500,284,344,138,246,6,275,81,295,Looking at the trains is the man doing
2364280,flower baskets,flower baskets,375,500,174,214,220,257,223,267,219,255,Flower baskets is hanging from the street light
2364291,tires,tires,323,500,151,180,178,207,102,124,171,202,Tires is being used to protect the sides of the boats
2364295,Skis,Skis,333,500,273,285,274,294,3,50,265,293,Skis are the people carrying
2364370,sandwiches,sandwiches,281,500,174,298,56,171,291,380,31,95,Sandwiches is on the plates
2364414,strawberries,strawberries,500,333,92,156,214,268,21,95,208,260,Strawberries are the berries on top of cake probably called
2364417,alcohol,alcohol,334,500,115,187,255,328,254,320,282,333,Alcohol is in their hands
2364443,Zebras,Zebras,332,500,60,416,43,312,306,440,40,290,Two Zebras is this photo of
2364528,glasses,glasses,310,500,134,226,39,92,282,350,92,134,Glasses is the woman wearing
2364594,mustard,mustard,500,375,39,186,85,327,256,375,99,223,Mustard is topping on hotdog
2364650,curtains,curtains,332,500,183,497,14,260,53,178,0,259,Curtains is draped around the stage
2364675,trees,trees,334,500,410,498,34,214,0,83,126,189,Trees is green
2364680,shoes,shoes,500,357,72,151,395,462,169,251,413,460,Shoes is on her feet
2364728,fence,tree,500,333,0,252,0,171,169,333,0,202,Fence and tree is in the background
2364740,Controllers,Controllers,281,500,51,144,225,258,362,454,219,258,Controllers are the men holding
2364770,people,people,378,500,113,156,233,315,150,190,256,348,People is present
2365110,wheels,wheels,281,500,294,333,178,217,87,117,185,218,Wheels is it on
2365246,wine,wine,345,500,164,183,202,213,161,173,170,176,Wine is in the table
2365284,walls,walls,375,500,269,499,0,374,0,270,0,375,Walls is white
2365323,umbrellas,umbrellas,333,500,195,335,175,319,341,425,56,170,Umbrellas is in the bananas
2365326,balloon,balloon,342,500,128,194,62,339,391,475,62,301,Balloon and unidentifiable object is he holding
2365429,feet,feet,500,335,123,139,362,382,81,107,393,409,Washing his feet is the man on the left doing
2365498,gloves,gloves,500,421,140,216,239,290,184,198,227,254,Gloves is the maid wearing on her hands
2365615,horses,horses,375,500,236,344,91,342,333,499,66,373,Horses is shown on this photo
2365661,flags,flags,333,500,0,85,0,302,338,417,0,327,Two flags is behind the men
2365677,trains,trains,500,360,188,357,240,357,0,167,221,376,Trains is on the tracks
2365717,joysticks,joysticks,333,500,385,404,252,324,70,137,173,244,Joysticks are the people holding
2365864,remotes,remotes,500,333,178,222,164,249,232,255,198,223,The remotes is the man holding
2366137,bushes,bushes,400,500,0,269,214,376,187,313,209,317,Bushes are they eating
2366191,blinds,blinds,375,500,310,377,54,224,381,499,41,225,Blinds is covering the windows
2366352,helmets,helmets,235,500,307,325,70,93,322,346,58,87,Helmets are the motorcycle riders wearing on their heads
2366454,chests,chests,374,500,105,214,134,198,97,211,187,289,Two chests is on the cart
2366491,rear lights,rear lights,333,500,152,181,155,172,212,244,155,173,Car's rear lights is lit red
2366568,Hot Dog,Hot Dog,333,500,123,190,141,314,255,345,155,332,Hot Dog is she having in her hand
2366644,flower bud,water,500,375,265,314,182,274,234,314,381,498,Flower bud and water is in the smallest vase
2366663,sneakers,sneakers,333,500,42,60,230,270,176,193,292,304,Sneakers is purple
2366728,umbrellas,umbrellas,333,500,35,183,29,152,165,266,66,196,Umbrellas is she holding
2366792,Laptops,Laptops,375,500,9,312,34,285,293,499,52,277,Laptops is on the table
2366863,horses,horses,375,500,255,416,186,290,213,354,181,272,2 horses grazing is this a picture of
2366879,lamps,lamps,333,500,262,291,157,191,459,500,163,231,Lamps is on either side of the bed on the wall
2366947,hills,hills,333,500,45,498,8,121,0,117,47,117,Hills is in the background
2367028,pizza,pizza,388,500,161,486,252,330,89,139,182,206,Pizza are in the tray
2367103,wall,Wall,500,500,1,168,0,115,442,498,105,138,Wall is grey
2367155,knee pads,knee pads,334,500,301,369,152,240,270,341,242,310,Knee pads is on the man's knees
2367167,Bracelets,Bracelets,333,500,168,176,191,212,310,323,187,209,Bracelets is the woman wearing on her wrists
2367240,woman,food,333,500,0,277,0,332,266,495,93,300,Woman and food is in the picture
2367285,airplane,bird,332,500,32,99,120,149,435,495,136,162,Bird and airplane is flying in the sky
2367333,necks,necks,342,500,260,395,113,341,243,401,40,264,Their long necks is special about these animals
2367352,horns,horns,333,500,199,219,34,66,226,242,34,66,Horns are the bumps between the ears
2367356,pizza slices,pizza slices,391,500,26,226,126,284,177,442,91,295,Pizza slices is there
2367394,hills,hills,334,500,236,421,257,267,381,499,258,267,Hills is in the background
2367452,tennis rackets,tennis rackets,500,400,199,383,160,259,95,156,230,270,Tennis rackets are they holding
2367496,Jazz,Jazz,276,500,87,191,171,203,57,107,38,54,Jazz is the name written on the first and third planes
2367567,grass,grass,333,500,182,499,104,330,0,467,91,243,Grass is on both sides of the tracks
2367575,boots,boots,500,500,238,274,422,499,283,326,419,482,Boots is the man wearing on his feet
2367614,Horns,Horns,375,500,270,275,165,174,264,269,165,173,Horns is on the giraffe's head
2367754,Stars,Stars,500,375,51,59,392,398,60,67,391,397,Stars is painted on top of the hydrant
2367826,goats,goats,296,500,20,201,124,250,88,258,103,235,Goats is white
2367871,Arms,Arms,332,500,327,405,6,114,120,267,208,331,"Arms is longer, the bear's arms or legs"
2367876,controllers,controllers,333,500,361,388,117,145,204,241,261,281,Controllers are the people holding
2367900,flowers,flowers,357,500,191,208,105,140,355,393,57,126,Flowers is the subject of the paintings
2367924,curtains,curtains,320,500,0,152,0,152,392,498,0,131,Curtains is the cloth
2367943,knee pads,knee pads,333,500,236,285,211,246,252,291,243,271,Knee pads are on his knees
2368084,Buildings,Buildings,375,500,0,181,211,260,295,481,194,264,Buildings are on each side of the street
2368175,computers,computers,500,333,101,211,198,302,210,291,205,268,Computers is on the desk
2368315,horses,horses,367,500,183,322,175,366,165,250,190,360,Horses are the men riding
2368315,cowboy hats,cowboy hats,367,500,241,270,147,163,193,223,162,172,Cowboy hats are the men wearing on their heads
2368324,Elephants,Elephants,332,500,165,274,173,242,201,389,107,231,Elephants are these animals called
2368344,Blinds,Blinds,332,500,63,155,71,188,0,19,54,87,Blinds is on the windows
2368441,hot dogs,hot dogs,375,500,181,299,239,281,186,312,261,315,Hot dogs is on the plate
2368445,Controllers,Controllers,500,332,103,151,160,190,250,279,177,219,Controllers are the ladies holding
2368446,legs,legs,333,500,0,343,0,331,359,498,75,332,Legs and feet is shown in the picture
2368472,people,people,375,500,22,261,83,373,194,346,151,286,People is in the picture
2368493,skis,skis,375,500,126,402,128,260,302,424,92,244,Skis are on his feet
2368502,Bullseye,Bullseye,362,500,164,177,44,65,317,335,297,319,Bullseye is painted on the end of the wings
2368510,purse,umbrella,373,500,347,387,124,168,282,390,50,98,A purse and an umbrella is the person holding
2368565,graffiti,graffiti,500,375,136,261,73,232,202,290,265,411,Graffiti is written on the toilet
2368577,lights,lights,333,500,301,330,41,58,330,353,43,62,Two lights is on a pole
2368630,advertisement,advertisement,500,328,0,328,36,88,0,328,160,238,Advertisement is in the background
2368676,child,mom,333,500,114,304,87,332,0,216,4,160,Looks like a mom and a child are the relationship of the two giraffes
1159373,dogs,dogs,681,1024,161,392,282,668,481,665,263,494,Their dogs is with them
2368741,shadows,shadows,281,500,206,340,242,249,299,498,263,279,Shadows are on the ground
2368754,Zebras,Zebras,333,500,80,377,108,282,82,259,65,281,Zebras are the striped animals
2368757,road,Line,375,500,12,498,269,374,407,427,317,374,Line on road is white
2368772,canvas,canvas,500,375,42,207,33,308,222,375,0,497,Canvas are the walls made of
2368905,Caps,Caps,375,500,318,351,93,113,441,484,85,107,Caps are the hats
1159419,water,water,683,1024,812,1023,112,228,364,408,279,355,Water is in the gallon jugs
2368998,flowers,flowers,500,363,162,226,255,347,246,301,249,346,Flowers is on the light pole
2369067,Mountains,Mountains,369,500,0,193,75,154,151,498,36,158,Mountains is in the distance
1159443,signs,signs,683,1024,571,597,1,43,629,640,105,129,Red lighted signs are there above the doors
1159458,top,pants,768,1024,407,652,306,432,456,846,421,654,Light top and dark pants is girl on the bed wearing
2369278,curtains,curtains,375,500,0,186,97,345,152,346,169,337,Curtains are located in front of the windows to keep out the light
2369288,chairs,chairs,375,500,19,175,221,373,0,61,187,297,The chairs is made of wicker
2369312,chairs,chairs,500,375,216,376,315,467,0,130,263,493,Chairs are people sitting on
2339129,teeth,teeth,377,500,205,210,231,235,211,218,229,232,Brushing his teeth is this person doing
2369396,desert,desert,375,500,209,354,219,356,41,398,26,323,Desert is on the plate
2369474,shoes,shoes,500,332,105,128,276,321,196,238,300,326,Shoes is black
2369613,mobility devices,mobility devices,375,500,167,380,207,366,224,434,169,339,Motorized mobility devices are the two women riding
285750,airline vehicle,barrier,612,612,135,609,356,508,0,612,471,538,"An orange barrier is in front of the airline vehicle are the long, interlocking structures in the foreground"
2369901,grass,grass,332,500,334,497,82,230,90,368,12,59,Grass is on either side of the path
2369916,motorcycles,motorcycles,333,500,230,276,259,302,285,330,264,293,Motorcycles are the men riding
2369920,teddy bear,egg,375,500,167,394,66,338,120,176,189,261,A teddy bear and an egg is in the picture
2369931,Giraffes,Giraffes,500,500,24,234,149,499,157,354,49,499,Giraffes is in the photo
2369999,lights,lights,335,500,118,131,208,219,97,107,209,217,The train's lights is turned on
2370019,geese,geese,333,500,65,88,254,312,179,226,254,313,Geese is on the cement
2370039,controllers,controllers,500,332,63,113,357,382,112,143,352,382,Controllers is she holding
2370077,Flowers,Flowers,332,500,55,187,23,93,277,441,84,178,Flowers is in the pot
2370150,Pillow,Pillow,375,500,169,427,91,202,0,178,135,254,Pillow is white
2370206,Tracks,Tracks,375,500,170,338,221,305,335,362,140,162,Tracks is the train on
2370218,Dogs,Dogs,333,500,146,228,130,233,111,181,138,232,Dogs are these
2370320,horses,horses,379,500,37,185,104,325,119,197,109,173,Horses is dark brown
2370334,giraffes,giraffes,333,500,268,500,202,333,345,500,63,294,Giraffes is being fed
1159643,buildings,buildings,768,1024,497,613,52,286,608,910,13,289,Two buildings is white
1159643,buildings,buildings,768,1024,497,613,52,286,608,910,13,289,Buildings is white
2370378,computers,computers,333,500,0,208,0,155,220,381,0,206,Computers are on the desk
2370403,sunglasses,sunglasses,375,500,166,196,147,158,391,403,142,150,Sunglasses is on his face
2370477,bicycles,bicycles,333,500,0,291,0,331,379,387,138,163,Bicycles are being ridden
1159679,sign,tooth,600,446,341,403,52,123,354,388,55,100,A sign with a tooth is hanging from a window
2370642,buses,buses,392,500,77,217,159,291,53,79,208,250,Buses is in the picture
2370643,horses,horses,329,500,3,101,53,269,149,375,9,321,Two horses is in the picture
2370643,horses,horses,329,500,3,101,53,269,149,375,9,321,Leading horses are the people doing
285887,industrial buildings,industrial buildings,683,1024,0,263,127,194,269,1015,116,207,Nature and industrial buildings is surrounding the train
2370688,sunglasses,sunglasses,339,500,133,224,75,106,327,400,130,163,Sunglasses are both ladies wearing
2370700,Pastries,Pastries,370,500,115,182,281,293,270,333,275,290,Pastries is the woman making in this picture
1159709,gloves,gloves,1024,768,62,208,454,548,362,586,658,780,Plastic gloves is the chef wearing on his hands
2370742,headboard,bed,375,500,140,392,64,226,0,500,63,375,The headboard of the bed is up against the wall
2370756,umbrellas,umbrellas,458,500,169,233,207,252,105,174,214,247,Umbrellas are they carrying
2370826,sandals,sandals,281,500,281,336,209,239,362,418,215,242,Sandals is on the woman's feet
1159738,truck,license plate,683,1024,313,677,219,511,603,653,415,444,The license plate of the truck is clearly visible
285930,tortillas,tortillas,612,612,411,520,301,410,422,517,248,339,Toasted tortillas is on plate
2371003,handrails,handrails,500,373,275,374,193,255,0,230,176,219,Handrails are the metal poles for
2371124,skateboard,skateboard,500,385,231,274,197,283,147,184,227,245,A skateboard is the kid riding
1159779,Clothes,Clothes,1024,683,347,433,413,505,431,548,368,497,Clothes are they wearing
2371411,screen,screen,357,500,113,436,31,264,0,73,86,279,Projection screen are the stars on
2371443,Gloves,Gloves,273,500,253,269,44,61,255,281,152,170,Gloves are on his hands
2371449,sandwich,sandwich,500,373,0,172,148,304,165,371,163,348,Sandwich is in the plate
2371521,zebras,zebras,334,500,120,422,53,272,58,302,135,272,Two zebras is in the center of the picture
2371539,windows,windows,332,500,0,184,0,207,185,498,0,180,The windows is behind the sink
1159845,horn,please,850,567,204,265,499,535,362,437,503,531,"""horn"" and ""please"" is written on back of truck"""
2371577,hands,hands,375,500,247,349,221,293,122,189,185,264,Wiping her hands is the woman doing
2371625,doors,doors,333,500,40,122,97,301,286,349,97,301,The doors is made of wood
2371643,grass,grass,500,375,0,375,157,332,0,375,402,497,Grass is green
1159881,buildings,buildings,777,1024,240,659,374,563,284,1009,16,612,Buildings is in background
2371871,Gloves,Gloves,346,500,268,307,51,120,189,234,57,83,Gloves is on the woman's hands
2371978,tennis rackets,tennis rackets,500,333,182,236,109,133,75,129,256,276,Tennis rackets are they holding
2371997,ball,ball,337,500,195,202,251,257,210,217,253,260,Getting ready to throw the ball is the boy in the black shirt doing
2372004,Blinds,Blinds,375,500,407,440,0,58,173,242,0,58,Blinds is covering the windows
2372053,papers,papers,375,500,337,405,243,261,407,444,259,273,Papers is on the countertop
2372159,ski poles,ski poles,333,500,271,405,96,137,338,388,139,148,Ski poles is the woman holding in her hand
2372160,shoe,shoe,375,500,51,316,167,285,413,499,209,365,A shoe is the cat sleeping on
2372326,ski poles,ski poles,375,500,82,209,147,334,312,496,238,285,Ski poles is the person holding
2372362,broccoli,broccoli,299,500,279,380,88,134,334,415,117,193,Broccoli is the vegetables that look like trees
2372412,controllers,controllers,259,500,295,332,102,151,12,46,63,101,Controllers are the holding in their right hands
2372433,chips,chips,500,333,77,128,36,86,51,81,36,81,Potato chips is on the basket
2372458,shirt,shirt,335,500,236,298,130,176,83,144,159,205,A player's shirt is red
2372458,cap,cap,335,500,259,287,113,132,97,128,138,164,A cap is on the red of the batter
2372469,shades,shades,333,500,340,381,105,126,103,126,155,184,Shades are they wearing
2372475,horns,horns,484,500,216,311,148,253,323,414,136,227,Horns is on it's head
2372507,tags,tags,333,500,298,321,123,157,90,117,127,161,Tags is in the cow's ears
2372509,palm trees,palm trees,375,500,235,421,0,185,469,498,2,82,Palm trees is green and on the right side of the truck
2372519,polar bears,polar bears,500,387,0,386,0,459,121,385,184,499,Polar Bears are the animals in the picture
2372548,bike,bike,333,500,78,152,182,262,97,175,188,263,A bike is behind him
2372707,bicycles,bicycles,347,500,185,340,132,331,56,179,134,294,Bicycles are the two people in the foreground sitting on
2372707,tents,tents,347,500,1,155,5,65,178,498,2,57,Tents are the white structures in the background
2372765,grass,grass,400,500,0,391,279,309,0,401,337,368,Grass is green
2372834,surfer,board,500,375,233,242,296,310,222,245,307,314,A surfer on his board is barely visible
2372836,Line,road,333,500,153,498,239,331,117,498,233,332,Line on road is yellow
2372915,Eme,Jack,500,331,150,223,134,154,120,153,300,389,Jack and Eme are the names on the cakes
2372953,bottle,liquid,500,375,35,75,303,386,38,78,329,384,A bottle of liquid is beside the child on the bench
2373055,Plant,Plant,500,335,11,42,414,432,79,129,344,397,Plant is in the pot near the bench
2373120,trees,trees,387,500,0,357,0,305,421,499,161,242,Trees is behind the train
2373149,shadows,shadows,375,500,45,176,129,265,269,344,176,332,Shadows are the dark images reflecting on the ground
2373165,Feet,Feet,375,500,364,413,57,86,407,462,94,116,Feet is in the top right of the picture
2373176,elephants,elephants,500,458,124,188,253,350,260,364,317,473,Elephants are the people riding
2373206,hats,hats,333,500,28,83,39,69,176,236,0,17,Hats are the players wearing on their heads
2339775,lights,lights,364,500,299,334,53,91,227,251,99,126,Lights is on the sides of the mirror
2373253,clocks,clocks,500,366,171,192,161,196,210,240,158,195,Clocks are the circular shapes on the tower
2373286,bears,bears,333,500,0,354,95,332,223,498,33,332,Two bears is this a photo of
